NewsPNr
pos
neu
neg
neu
neu
neu
neu
neu
neu
neu
neu
neu
neu
neu
pos
neu
pos
neu
neu
neu
pos
neu
pos
pos
pos
neu
pos
pos
neu
neu
pos
neu
neu
pos
pos
pos
neu
pos
pos
pos
pos
neu
neu
pos
neg
pos
neu
neu
neu
neu
pos
neu
neu
pos
pos
pos
neu
pos
pos
neu
pos
neu
pos
pos
pos
pos
pos
pos
pos
pos
pos
pos
pos
pos
pos
pos
neu
pos
pos
pos
pos
neu
neu
neu
neu
neu
neu
neg
pos
neu
neu
pos
neu
pos
neu
neu
pos
neu
neu
neu
neu
pos
neu
neu
neu
pos
pos
neu
neu
pos
neu
neu
neu
neu
neu
pos
neu
neu
neu
neu
neu
pos
pos
neu
neu
pos
pos
neu
pos
neu
neu
neu
neu
neg
neu
pos
pos
neg
neu
neu
neu
neu
neg
neu
neu
neu
neu
neu
neu
neg
pos
neg
neu
neg
neu
pos
pos
neu
pos
neu
neu
neg
neu
pos
neu
neu
neu
pos
neu
neu
neu
pos
neu
neu
neu
neu
neu
pos
neu
neu
pos
neu
neu
pos
pos
pos
neu
neu
neu
neu
neu
pos
pos
neu
neu
pos
neu
pos
pos
pos
neu
neu
neu
pos
neu
neu
neu
neg
neu
neu
neu
pos
neu
neg
neg
neu
neu
neu
neu
neu
neu
pos
neu
neu
neu
neu
pos
neu
neu
pos
neu
pos
neu
pos
neu
pos
neu
pos
neg
pos
neg
neu
neu
neu
neu
neu
neu
neu
neu
neu
neg
neu
neu
neu
pos
pos
pos
neu
neu
pos
neu
pos
neu
neu
pos
neu
neu
pos
neu
pos
neu
pos
neu
neu
neu
neu
neu
neu
neu
neu
neu
neu
pos
neu
neu
neg
neu
neu
pos
pos
neu
neu
neu
pos
neu
neu
neu
neg
neu
neu
neu
neu
neu
neu
neu
neu
neu
neu
neu
neu
pos
neu
neu
neu
neu
neu
neu
neu
neg
neu
neu
neu
neu
neu
neu
neu
neg
neu
neu
neu
neu
neu
neu
neu
neu
neu
neu
neu
neu
neg
neu
neu
pos
neu
neu
neu
neu
neu
neu
neu
neu
neg
neu
neu
neu
neu
neu
neu
neu
neu
neu
neu
neg
neu
neu
